KalmanPitch,KalmanRoll,,,
-1.72,-94.07,,,
-1.73,-94.06,,,
-1.75,-94.06,,,
-1.77,-94.05,,,
-1.81,-94.05,,,
-1.86,-94.05,,,
-1.92,-94.07,,,
-2,-94.07,,,
-2.08,-94.1,,,
-2.18,-94.14,,,
-2.23,-94.16,,,
-2.25,-94.19,,,
-2.27,-94.19,,,
-2.27,-94.18,,,
-2.27,-94.19,,,
-2.26,-94.18,,,
-2.29,-94.19,,,
-2.3,-94.19,,,
-2.31,-94.21,,,
-2.32,-94.22,,,
-2.31,-94.22,,,
-2.34,-94.22,,,
-2.36,-94.22,,,
-2.38,-94.23,,,
-2.4,-94.24,,,
-2.42,-94.23,,,
-2.45,-94.23,,,
-2.52,-94.24,,,
-2.55,-94.25,,,
-2.57,-94.24,,,
-2.59,-94.25,,,
-2.6,-94.23,,,
-2.61,-94.22,,,
-2.64,-94.19,,,
-2.68,-94.19,,,
-2.71,-94.2,,,
-2.73,-94.19,,,
-2.76,-94.2,,,
-2.76,-94.19,,,
-2.79,-94.21,,,
-2.79,-94.23,,,
-2.76,-94.21,,,
-2.79,-94.21,,,
-2.81,-94.21,,,
-2.82,-94.19,,,
-2.85,-94.21,,,
-2.84,-94.19,,,
-2.84,-94.17,,,
-2.83,-94.18,,,
-2.81,-94.17,,,
-2.8,-94.17,,,
-2.77,-94.14,,,
-2.78,-94.14,,,
-2.77,-94.13,,,
-2.75,-94.12,,,
-2.77,-94.11,,,
-2.77,-94.11,,,
-2.77,-94.11,,,
-2.76,-94.1,,,
-2.77,-94.1,,,
-2.77,-94.1,,,
-2.75,-94.09,,,
-2.73,-94.08,,,
-2.71,-94.07,,,
-2.7,-94.07,,,
-2.68,-94.06,,,
-2.67,-94.06,,,
-2.66,-94.06,,,
-2.65,-94.07,,,
-2.64,-94.07,,,
-2.63,-94.07,,,
-2.63,-94.07,,,
-2.62,-94.07,,,
-2.61,-94.07,,,
-2.6,-94.06,,,
-2.6,-94.06,,,
-2.59,-94.06,,,
-2.59,-94.05,,,
-2.58,-94.05,,,
-2.58,-94.06,,,
-2.57,-94.06,,,
-2.57,-94.06,,,
-2.57,-94.07,,,
-2.56,-94.07,,,
-2.56,-94.08,,,
-2.55,-94.08,,,
-2.55,-94.09,,,
-2.54,-94.09,,,
-2.54,-94.09,,,
-2.53,-94.09,,,
-2.53,-94.09,,,
-2.53,-94.09,,,
-2.52,-94.1,,,
-2.52,-94.1,,,
-2.52,-94.1,,,
-2.52,-94.1,,,
-2.52,-94.1,,,
-2.51,-94.11,,,
-2.51,-94.11,,,
-2.51,-94.11,,,
-2.51,-94.11,,,
-2.5,-94.11,,,
-2.5,-94.11,,,
-2.5,-94.11,,,
-2.49,-94.11,,,
-2.49,-94.1,,,
-2.49,-94.1,,,
-2.49,-94.1,,,
-2.49,-94.09,,,
-2.49,-94.09,,,
-2.49,-94.08,,,
-2.49,-94.08,,,
-2.49,-94.07,,,
-2.49,-94.07,,,
-2.49,-94.07,,,
-2.49,-94.07,,,
-2.5,-94.07,,,
-2.5,-94.07,,,
-2.5,-94.07,,,
-2.5,-94.07,,,
-2.5,-94.07,,,
-2.5,-94.08,,,
-2.49,-94.08,,,
-2.49,-94.09,,,
-2.48,-94.1,,,
-2.48,-94.12,,,
-2.47,-94.13,,,
-2.46,-94.13,,,
-2.46,-94.14,,,
-2.45,-94.14,,,
-2.47,-94.15,,,
-2.42,-94.15,,,
-2.38,-94.14,,,
-2.36,-94.14,,,
-2.35,-94.15,,,
-2.31,-94.15,,,
-2.25,-94.14,,,
