KalmanPitch,KalmanRoll,,,,,
80.05,83.67,,,,,
80.01,84.22,,,,,
79.98,84.76,,,,,
79.96,85.36,,,,,
79.93,85.96,,,,,
79.89,86.54,,,,,
79.84,87.08,,,,,
79.78,87.63,,,,,
79.71,88.16,,,,,
79.66,88.72,,,,,
79.62,89.33,,,,,
79.57,89.95,,,,,
79.53,90.58,,,,,
79.49,91.2,,,,,
79.45,89.93,,,,,
79.42,88.7,,,,,
79.39,87.46,,,,,
79.36,86.28,,,,,
79.34,85.1,,,,,
79.32,83.94,,,,,
79.29,82.79,,,,,
79.26,81.63,,,,,
79.23,80.47,,,,,
79.21,79.31,,,,,
79.19,78.18,,,,,
79.16,77.06,,,,,
79.13,75.97,,,,,
79.1,74.9,,,,,
79.09,73.83,,,,,
79.06,72.8,,,,,
79.04,71.74,,,,,
79.02,70.75,,,,,
79.01,69.81,,,,,
78.99,68.95,,,,,
78.97,68.13,,,,,
78.94,67.34,,,,,
78.91,66.57,,,,,
78.87,65.78,,,,,
78.84,65.02,,,,,
78.81,64.24,,,,,
78.77,63.47,,,,,
78.74,62.7,,,,,
78.72,61.92,,,,,
78.7,61.15,,,,,
78.67,60.4,,,,,
78.66,59.65,,,,,
78.65,58.94,,,,,
78.64,58.24,,,,,
78.63,57.54,,,,,
78.63,56.88,,,,,
78.63,56.23,,,,,
78.61,55.58,,,,,
78.6,54.99,,,,,
78.58,54.38,,,,,
78.56,53.77,,,,,
78.55,53.16,,,,,
78.54,52.54,,,,,
78.53,51.92,,,,,
78.53,51.27,,,,,
78.53,50.64,,,,,
78.53,49.96,,,,,
78.54,49.38,,,,,
78.56,48.79,,,,,
78.57,48.11,,,,,
78.58,47.5,,,,,
78.58,46.95,,,,,
78.59,46.41,,,,,
78.6,45.84,,,,,
78.61,45.39,,,,,
78.62,44.94,,,,,
78.61,44.56,,,,,
78.6,44.16,,,,,
78.59,43.75,,,,,
78.57,43.33,,,,,
78.55,42.93,,,,,
78.51,42.54,,,,,
78.48,42.1,,,,,
78.43,41.68,,,,,
78.38,41.22,,,,,
78.32,40.78,,,,,
78.27,40.34,,,,,
78.22,39.95,,,,,
78.19,39.58,,,,,
78.16,39.23,,,,,
78.13,38.93,,,,,
78.1,38.64,,,,,
78.06,38.36,,,,,
78.04,38.11,,,,,
78,37.88,,,,,
77.97,37.71,,,,,
77.94,37.54,,,,,
77.9,37.4,,,,,
77.88,37.29,,,,,
77.85,37.19,,,,,
77.83,37.07,,,,,
77.81,36.98,,,,,
77.79,36.87,,,,,
77.77,36.82,,,,,
77.74,36.8,,,,,
77.72,36.83,,,,,
77.69,36.88,,,,,
77.67,36.96,,,,,
77.65,37.09,,,,,
77.63,37.21,,,,,
77.6,37.35,,,,,
77.58,37.52,,,,,
77.55,37.71,,,,,
77.51,37.93,,,,,
77.47,38.15,,,,,
77.42,38.39,,,,,
77.38,38.65,,,,,
77.34,38.93,,,,,
77.3,39.19,,,,,
77.26,39.48,,,,,
77.23,39.73,,,,,
77.2,40.01,,,,,
77.18,40.28,,,,,
77.15,40.57,,,,,
77.13,40.88,,,,,
77.12,41.24,,,,,
77.11,41.61,,,,,
77.1,42,,,,,
77.08,42.41,,,,,
77.08,42.82,,,,,
77.06,43.25,,,,,
77.05,43.7,,,,,
77.04,44.14,,,,,
77.02,44.61,,,,,
77,45.06,,,,,
76.98,45.53,,,,,
76.97,46,,,,,
76.95,46.5,,,,,
76.93,46.98,,,,,
76.92,47.49,,,,,
76.89,48,,,,,
76.87,48.53,,,,,
76.84,49.09,,,,,
76.81,49.66,,,,,
76.78,50.25,,,,,
76.76,50.83,,,,,
76.75,51.48,,,,,
76.73,52.12,,,,,
76.71,52.77,,,,,
76.69,53.46,,,,,
76.66,54.13,,,,,
76.63,54.81,,,,,
76.59,55.51,,,,,
76.55,56.2,,,,,
76.52,56.89,,,,,
76.48,57.58,,,,,
76.45,58.24,,,,,
76.42,58.9,,,,,
76.4,59.6,,,,,
76.4,60.34,,,,,
76.37,59.17,,,,,
76.36,59.88,,,,,
76.33,60.59,,,,,
76.3,61.31,,,,,
76.27,62.01,,,,,
76.24,62.75,,,,,
76.19,63.49,,,,,
76.15,64.25,,,,,
76.11,63.12,,,,,
76.08,62.01,,,,,
76.06,60.92,,,,,
76.03,59.85,,,,,
76.01,58.83,,,,,
75.99,57.8,,,,,
75.98,56.81,,,,,
75.96,55.84,,,,,
75.95,54.88,,,,,
75.94,53.93,,,,,
75.92,52.98,,,,,
75.89,52,,,,,
75.88,51,,,,,
75.87,50.03,,,,,
75.87,49.07,,,,,
75.86,48.09,,,,,
75.85,47.12,,,,,
75.85,46.19,,,,,
75.85,45.27,,,,,
75.86,44.41,,,,,
75.86,43.54,,,,,
75.87,42.71,,,,,
75.87,41.93,,,,,
75.86,41.18,,,,,
75.86,40.48,,,,,
75.85,39.78,,,,,
75.84,39.14,,,,,
75.83,38.54,,,,,
75.82,37.94,,,,,
75.81,37.33,,,,,
75.81,36.72,,,,,
75.81,36.12,,,,,
75.82,35.5,,,,,
75.83,34.92,,,,,
75.83,34.35,,,,,
75.83,33.75,,,,,
75.83,33.14,,,,,
75.85,32.55,,,,,
75.86,31.91,,,,,
75.88,31.31,,,,,
75.9,30.74,,,,,
75.92,30.17,,,,,
75.95,29.55,,,,,
75.97,28.98,,,,,
76.02,28.43,,,,,
76.05,27.91,,,,,
76.09,27.45,,,,,
76.12,26.96,,,,,
76.16,26.57,,,,,
76.19,26.16,,,,,
76.24,25.76,,,,,
76.29,25.44,,,,,
76.33,25.08,,,,,
76.36,24.69,,,,,
76.39,24.32,,,,,
76.41,24.04,,,,,
76.43,23.74,,,,,
76.44,23.47,,,,,
76.45,23.26,,,,,
76.44,23.01,,,,,
76.43,22.74,,,,,
76.4,22.48,,,,,
76.36,22.21,,,,,
76.32,21.91,,,,,
76.28,21.58,,,,,
76.25,21.27,,,,,
76.24,20.94,,,,,
76.24,20.71,,,,,
76.26,20.49,,,,,
76.28,20.3,,,,,
76.29,20.16,,,,,
76.3,20.03,,,,,
76.31,19.9,,,,,
76.3,19.77,,,,,
76.29,19.64,,,,,
76.27,19.53,,,,,
76.25,19.45,,,,,
76.23,19.36,,,,,
76.21,19.27,,,,,
76.19,19.19,,,,,
76.16,19.07,,,,,
76.13,18.94,,,,,
76.09,18.84,,,,,
76.06,18.77,,,,,
76.03,18.75,,,,,
76.01,18.82,,,,,
75.98,18.91,,,,,
75.95,19.03,,,,,
75.92,19.16,,,,,
75.89,19.27,,,,,
75.87,19.41,,,,,
75.85,19.5,,,,,
75.84,19.62,,,,,
75.83,19.74,,,,,
75.81,19.87,,,,,
75.79,20.05,,,,,
75.77,20.24,,,,,
75.76,20.48,,,,,
75.75,20.71,,,,,
75.74,20.94,,,,,
75.75,21.14,,,,,
75.76,21.36,,,,,
75.77,21.56,,,,,
75.78,21.8,,,,,
75.8,22.08,,,,,
75.81,22.35,,,,,
75.8,22.65,,,,,
75.8,22.99,,,,,
75.79,23.33,,,,,
75.78,23.68,,,,,
75.77,24.04,,,,,
75.76,24.39,,,,,
75.74,24.78,,,,,
75.73,25.19,,,,,
75.72,25.64,,,,,
75.71,26.11,,,,,
75.71,26.57,,,,,
75.7,27.07,,,,,
75.69,27.57,,,,,
75.68,28.08,,,,,
75.67,28.58,,,,,
75.67,29.11,,,,,
75.66,29.68,,,,,
75.67,30.22,,,,,
75.67,30.77,,,,,
75.68,31.34,,,,,
75.69,31.92,,,,,
75.69,32.53,,,,,
75.69,33.13,,,,,
75.69,33.76,,,,,
75.69,34.39,,,,,
75.68,35.03,,,,,
75.67,35.67,,,,,
75.66,36.34,,,,,
75.65,37.02,,,,,
75.63,37.71,,,,,
75.6,38.38,,,,,
75.58,39.07,,,,,
75.54,39.78,,,,,
75.5,40.49,,,,,
75.46,41.23,,,,,
75.41,41.96,,,,,
75.36,42.71,,,,,
75.31,43.45,,,,,
75.25,44.22,,,,,
75.21,44.98,,,,,
75.17,45.77,,,,,
75.12,46.57,,,,,
75.09,47.35,,,,,
75.06,48.17,,,,,
75.03,49.01,,,,,
75,47.95,,,,,
74.96,48.79,,,,,
74.92,49.63,,,,,
74.87,50.46,,,,,
74.82,51.31,,,,,
74.78,52.15,,,,,
74.74,51.12,,,,,
74.7,50.11,,,,,
74.68,49.12,,,,,
74.64,48.17,,,,,
74.6,47.21,,,,,
74.58,46.27,,,,,
74.55,45.34,,,,,
74.54,44.44,,,,,
74.52,43.56,,,,,
74.51,42.7,,,,,
74.51,41.89,,,,,
74.5,41.08,,,,,
74.52,40.31,,,,,
74.53,39.52,,,,,
74.54,38.73,,,,,
74.54,37.96,,,,,
74.54,37.16,,,,,
74.55,36.38,,,,,
74.56,35.6,,,,,
74.56,34.83,,,,,
74.56,34.06,,,,,
74.56,33.33,,,,,
74.56,32.62,,,,,
74.56,31.96,,,,,
74.57,31.29,,,,,
74.59,30.64,,,,,
74.6,29.95,,,,,
74.62,29.28,,,,,
74.63,28.59,,,,,
74.65,27.89,,,,,
74.66,27.2,,,,,
74.68,26.54,,,,,
74.71,25.89,,,,,
74.74,25.3,,,,,
74.76,24.71,,,,,
74.8,24.18,,,,,
74.82,23.66,,,,,
74.84,23.17,,,,,
74.87,22.67,,,,,
74.9,22.23,,,,,
74.92,21.77,,,,,
74.93,21.29,,,,,
74.95,20.82,,,,,
74.99,20.36,,,,,
75.02,19.91,,,,,
75.07,19.43,,,,,
75.12,19,,,,,
75.16,18.6,,,,,
75.19,18.23,,,,,
75.22,17.88,,,,,
75.25,17.58,,,,,
75.27,17.29,,,,,
75.28,17.09,,,,,
75.3,16.82,,,,,
75.33,16.55,,,,,
75.35,16.3,,,,,
75.37,16.09,,,,,
75.39,15.88,,,,,
75.4,15.7,,,,,
75.41,15.5,,,,,
75.42,15.32,,,,,
75.43,15.16,,,,,
75.43,15,,,,,
75.44,14.83,,,,,
75.44,14.66,,,,,
75.43,14.49,,,,,
75.44,14.31,,,,,
75.44,14.17,,,,,
75.45,14.01,,,,,
75.45,13.86,,,,,
75.46,13.74,,,,,
75.47,13.6,,,,,
75.49,13.57,,,,,
75.5,13.55,,,,,
75.51,13.51,,,,,
75.51,13.47,,,,,
75.52,13.47,,,,,
75.53,13.47,,,,,
75.53,13.45,,,,,
75.53,13.43,,,,,
75.52,13.43,,,,,
75.51,13.4,,,,,
75.48,13.39,,,,,
75.46,13.37,,,,,
75.42,13.33,,,,,
75.39,13.32,,,,,
75.36,13.29,,,,,
75.34,13.28,,,,,
75.31,13.25,,,,,
75.29,13.23,,,,,
75.27,13.26,,,,,
75.26,13.28,,,,,
75.24,13.32,,,,,
75.22,13.37,,,,,
75.2,13.42,,,,,
75.18,13.52,,,,,
75.15,13.61,,,,,
75.12,13.71,,,,,
75.09,13.79,,,,,
75.08,13.9,,,,,
75.07,14.04,,,,,
75.06,14.17,,,,,
75.05,14.33,,,,,
75.04,14.48,,,,,
75.03,14.62,,,,,
75.03,14.78,,,,,
75.02,14.93,,,,,
75.01,15.09,,,,,
75,15.28,,,,,
75,15.48,,,,,
75.01,15.71,,,,,
75.02,15.94,,,,,
75.04,16.19,,,,,
75.06,16.45,,,,,
75.07,16.72,,,,,
75.09,17,,,,,
75.08,17.27,,,,,
75.07,17.56,,,,,
75.06,17.89,,,,,
75.04,18.23,,,,,
75.02,18.61,,,,,
