KalmanPitch,KalmanRoll,,,
-3.35,96.77,,,
-3.3,96.75,,,
-3.25,96.75,,,
-3.19,96.75,,,
-3.11,96.76,,,
-3.02,96.76,,,
-2.91,96.74,,,
-2.8,96.74,,,
-2.68,96.75,,,
-2.54,96.75,,,
-2.4,96.75,,,
-2.26,96.73,,,
-2.14,96.74,,,
-2.03,96.71,,,
-1.94,96.68,,,
-1.86,96.64,,,
-1.8,96.61,,,
-1.76,96.59,,,
-1.73,96.55,,,
-1.7,96.53,,,
-1.66,96.5,,,
-1.59,96.48,,,
-1.51,96.46,,,
-1.42,96.43,,,
-1.31,96.41,,,
-1.19,96.38,,,
-1.06,96.35,,,
-0.95,96.33,,,
-0.85,96.31,,,
-0.77,96.27,,,
-0.69,96.24,,,
-0.63,96.2,,,
-0.57,96.15,,,
-0.52,96.12,,,
-0.48,96.07,,,
-0.46,96.02,,,
-0.44,95.99,,,
-0.43,95.94,,,
-0.42,95.9,,,
-0.41,95.87,,,
-0.41,95.84,,,
-0.4,95.8,,,
-0.39,95.76,,,
-0.38,95.73,,,
-0.37,95.71,,,
-0.36,95.67,,,
-0.34,95.64,,,
-0.3,95.6,,,
-0.27,95.56,,,
-0.22,95.54,,,
-0.16,95.52,,,
-0.08,95.5,,,
0,95.5,,,
0.1,95.48,,,
0.2,95.47,,,
0.3,95.46,,,
0.39,95.44,,,
0.46,95.44,,,
0.53,95.42,,,
0.58,95.4,,,
0.61,95.38,,,
0.63,95.36,,,
0.64,95.33,,,
0.64,95.32,,,
0.64,95.3,,,
0.65,95.27,,,
0.64,95.26,,,
0.64,95.25,,,
0.64,95.23,,,
0.64,95.21,,,
0.64,95.19,,,
0.63,95.18,,,
0.61,95.16,,,
0.59,95.15,,,
0.57,95.15,,,
0.55,95.14,,,
0.54,95.13,,,
0.52,95.12,,,
0.5,95.13,,,
0.49,95.1,,,
0.47,95.08,,,
0.46,95.09,,,
0.44,95.09,,,
0.44,95.08,,,
0.43,95.09,,,
0.44,95.06,,,
0.43,95.03,,,
0.41,95.02,,,
0.39,94.99,,,
0.36,94.97,,,
0.32,94.96,,,
0.27,94.93,,,
0.21,94.92,,,
0.15,94.89,,,
0.09,94.89,,,
0.03,94.87,,,
-0.03,94.85,,,
-0.09,94.84,,,
-0.15,94.83,,,
-0.21,94.83,,,
-0.27,94.82,,,
-0.32,94.82,,,
-0.37,94.82,,,
-0.41,94.8,,,
-0.46,94.82,,,
-0.5,94.82,,,
-0.54,94.82,,,
-0.59,94.84,,,
-0.64,94.88,,,
-0.7,94.89,,,
-0.76,94.89,,,
-0.83,94.91,,,
-0.9,94.92,,,
-0.99,94.93,,,
-1.09,94.92,,,
-1.17,94.92,,,
-1.26,94.92,,,
-1.34,94.93,,,
-1.43,94.93,,,
-1.53,94.92,,,
-1.62,94.92,,,
-1.7,94.94,,,
-1.78,94.94,,,
-1.87,94.93,,,
-1.95,94.95,,,
-2.04,94.95,,,
-2.12,94.93,,,
-2.21,94.93,,,
-2.3,94.94,,,
-2.38,94.95,,,
-2.47,94.95,,,
-2.55,94.95,,,
-2.62,94.95,,,
-2.7,94.95,,,
-2.81,94.94,,,
-2.92,94.94,,,
-3.05,94.92,,,
-3.18,94.91,,,
-3.32,94.91,,,
-3.47,94.91,,,
-3.63,94.91,,,
-3.77,94.93,,,
-3.92,94.92,,,
-4.06,94.94,,,
-4.21,94.96,,,
-4.36,94.98,,,
-4.51,95.01,,,
-4.67,95.04,,,
-4.83,95.08,,,
-4.98,95.1,,,
-5.13,95.12,,,
