Pitch,Roll,,,,
-2.12,-24.21,131.82,,,
-2.12,-25.06,132,,,
-2.11,-24.02,132.18,,,
-2.03,-22.98,132.26,,,
-2,-21.91,132.17,,,
-2.01,-20.84,132.1,,,
-2.01,-19.77,132.04,,,
-2.02,-18.72,131.94,,,
-2.03,-17.68,131.81,,,
-2.02,-16.67,131.67,,,
-2.02,-15.66,131.5,,,
-2.02,-14.65,131.31,,,
-2,-13.63,131.11,,,
-1.99,-12.62,130.89,,,
-1.98,-11.6,130.65,,,
-1.97,-10.6,130.39,,,
-1.96,-9.59,130.13,,,
-1.95,-10.49,129.86,,,
-1.95,-9.48,129.58,,,
-1.94,-10.35,129.29,,,
-1.94,-11.2,129.01,,,
-1.92,-12.06,128.76,,,
-1.93,-12.91,128.54,,,
-1.93,-13.76,128.33,,,
-1.92,-14.6,128.15,,,
-1.91,-15.43,128.01,,,
-1.91,-16.26,127.88,,,
-1.9,-17.1,127.77,,,
-1.88,-17.93,127.7,,,
-1.87,-18.77,127.64,,,
-1.84,-19.61,127.6,,,
-1.82,-20.45,127.56,,,
-1.8,-19.39,127.54,,,
-1.76,-18.36,127.53,,,
-1.72,-17.34,127.53,,,
-1.72,-16.34,127.51,,,
-1.71,-15.34,127.45,,,
-1.69,-14.35,127.37,,,
-1.68,-13.36,127.28,,,
-1.67,-12.37,127.16,,,
-1.67,-11.38,127.01,,,
-1.64,-10.39,126.85,,,
-1.63,-9.41,126.66,,,
-1.62,-8.41,126.46,,,
-1.61,-7.43,126.25,,,
-1.62,-6.43,126.04,,,
-1.62,-5.44,125.86,,,
-1.62,-6.36,125.68,,,
-1.64,-7.28,125.52,,,
-1.66,-6.28,125.35,,,
-1.67,-5.3,125.21,,,
-1.68,-4.32,125.07,,,
-1.7,-3.34,124.95,,,
-1.73,-2.38,124.82,,,
-1.75,-1.43,124.69,,,
-1.76,-0.51,124.56,,,
-1.77,0.41,124.42,,,
-1.81,1.32,124.26,,,
-1.85,2.22,124.08,,,
-1.88,3.13,123.88,,,
-1.92,4.05,123.68,,,
-1.96,4.97,123.48,,,
-2.01,5.87,123.27,,,
-2.06,6.78,123.07,,,
-2.14,5.81,122.85,,,
-2.19,4.84,122.63,,,
-2.24,3.88,122.43,,,
-2.31,2.96,122.26,,,
-2.38,2.05,122.1,,,
-2.45,1.17,121.97,,,
-2.51,0.29,121.87,,,
-2.56,-0.59,121.81,,,
-2.62,-1.47,121.77,,,
-2.68,-2.36,121.75,,,
-2.74,-3.25,121.75,,,
-2.8,-4.15,121.75,,,
-2.87,-5.07,121.77,,,
-2.93,-5.99,121.77,,,
-2.99,-5,121.77,,,
-3.05,-4.03,121.75,,,
-3.11,-3.08,121.72,,,
-3.16,-2.12,121.65,,,
-3.22,-3.06,121.57,,,
-3.28,-3.97,121.48,,,
-3.33,-4.88,121.38,,,
-3.37,-5.76,121.27,,,
-3.44,-6.65,121.17,,,
-3.47,-7.53,121.07,,,
-3.51,-8.4,120.96,,,
-3.54,-9.27,120.86,,,
-3.58,-10.14,120.75,,,
-3.61,-10.99,120.64,,,
-3.64,-11.84,120.53,,,
-3.67,-12.67,120.44,,,
-3.69,-13.5,120.38,,,
-3.72,-14.33,120.32,,,
-3.73,-15.18,120.28,,,
-3.74,-16.03,120.24,,,
-3.78,-16.87,120.21,,,
-3.81,-17.72,120.19,,,
-3.81,-18.58,120.16,,,
-3.81,-19.43,120.13,,,
-3.82,-20.27,120.09,,,
-3.82,-21.11,120.04,,,
-3.82,-21.94,120,,,
-3.84,-22.76,119.92,,,
-3.85,-23.56,119.83,,,
-3.87,-24.35,119.75,,,
-3.89,-25.12,119.68,,,
-3.9,-25.89,119.62,,,
-3.92,-26.64,119.56,,,
-3.95,-27.38,119.52,,,
-3.97,-28.11,119.51,,,
-3.98,-28.83,119.52,,,
-3.97,-29.59,119.55,,,
-3.96,-30.34,119.6,,,
-3.95,-31.09,119.65,,,
-3.94,-31.85,119.72,,,
-3.91,-32.61,119.8,,,
-3.88,-33.39,119.88,,,
-3.85,-34.15,119.94,,,
-3.83,-34.9,120.03,,,
-3.79,-35.66,120.12,,,
-3.75,-36.41,120.21,,,
-3.71,-35.26,120.27,,,
-3.64,-34.12,120.33,,,
-3.58,-32.99,120.38,,,
-3.5,-31.86,120.4,,,
-3.42,-32.64,120.41,,,
-3.35,-33.4,120.39,,,
-3.28,-34.16,120.4,,,
-3.19,-34.9,120.41,,,
-3.11,-33.76,120.41,,,
-3.03,-34.5,120.41,,,
-2.94,-35.24,120.4,,,
-2.85,-35.96,120.4,,,
-2.76,-36.7,120.41,,,
-2.68,-35.55,120.44,,,
-2.61,-34.4,120.47,,,
-2.52,-35.16,120.5,,,
-2.45,-35.9,120.54,,,
-2.39,-36.65,120.59,,,
-2.33,-37.4,120.66,,,
-2.27,-38.13,120.74,,,
-2.22,-38.86,120.82,,,
-2.16,-39.59,120.91,,,
-2.11,-40.31,120.99,,,
-2.07,-41.04,121.08,,,
-2.02,-39.86,121.17,,,
-2.01,-38.69,121.25,,,
-1.99,-39.4,121.33,,,
-1.98,-40.09,121.42,,,
-1.97,-40.77,121.51,,,
-1.95,-41.43,121.6,,,
-1.93,-42.09,121.73,,,
-1.92,-42.76,121.86,,,
-1.93,-43.44,121.99,,,
-1.94,-44.12,122.13,,,
-1.95,-44.82,122.28,,,
-1.98,-43.63,122.43,,,
-2,-44.35,122.58,,,
-2.04,-43.17,122.72,,,
-2.08,-41.99,122.84,,,
-2.13,-40.82,122.96,,,
-2.18,-41.55,123.08,,,
-2.23,-42.27,123.18,,,
-2.29,-41.09,123.27,,,
-2.34,-41.81,123.34,,,
-2.39,-42.51,123.4,,,
-2.44,-43.23,123.47,,,
-2.5,-43.95,123.55,,,
-2.55,-44.65,123.63,,,
-2.61,-45.31,123.71,,,
-2.68,-45.98,123.81,,,
-2.73,-46.6,123.94,,,
-2.78,-47.21,124.09,,,
-2.85,-47.82,124.27,,,
-2.9,-48.45,124.49,,,
-2.96,-49.07,124.72,,,
-3.03,-49.73,124.96,,,
-3.08,-50.4,125.21,,,
-3.15,-51.06,125.47,,,
-3.2,-49.84,125.73,,,
-3.25,-48.63,125.97,,,
-3.32,-47.42,126.21,,,
-3.38,-46.21,126.44,,,
-3.42,-45.01,126.66,,,
-3.45,-43.81,126.89,,,
-3.48,-42.64,127.12,,,
-3.51,-41.48,127.33,,,
-3.53,-40.33,127.52,,,
-3.55,-39.19,127.71,,,
-3.56,-38.05,127.88,,,
-3.58,-36.92,128.03,,,
-3.58,-35.8,128.18,,,
-3.59,-34.68,128.33,,,
-3.62,-33.6,128.47,,,
-3.62,-32.52,128.63,,,
-3.62,-31.44,128.77,,,
-3.62,-30.38,128.9,,,
-3.62,-29.35,129.01,,,
-3.62,-28.31,129.11,,,
-3.63,-27.29,129.15,,,
-3.63,-26.29,129.18,,,
-3.63,-25.29,129.18,,,
-3.65,-24.28,129.14,,,
-3.63,-23.26,129.06,,,
-3.64,-22.23,128.95,,,
-3.64,-21.2,128.84,,,
-3.63,-20.16,128.71,,,
-3.63,-19.11,128.58,,,
-3.64,-18.05,128.45,,,
-3.64,-16.99,128.32,,,
-3.63,-15.94,128.2,,,
-3.61,-14.89,128.08,,,
-3.6,-15.76,127.96,,,
-3.59,-16.62,127.86,,,
-3.58,-15.57,127.78,,,
-3.55,-14.55,127.72,,,
-3.53,-13.54,127.66,,,
-3.51,-12.53,127.62,,,
-3.5,-11.52,127.58,,,
-3.47,-10.52,127.56,,,
-3.43,-9.54,127.53,,,
-3.4,-8.56,127.51,,,
-3.35,-7.58,127.5,,,
-3.31,-6.61,127.48,,,
-3.25,-5.65,127.48,,,
-3.19,-4.69,127.5,,,
-3.1,-3.74,127.49,,,
-3,-2.8,127.49,,,
-2.91,-1.87,127.5,,,
-2.79,-0.91,127.52,,,
-2.67,-1.83,127.54,,,
-2.63,-2.75,127.54,,,
-2.6,-1.75,127.52,,,
-2.54,-0.91,127.51,,,
-2.46,-0.13,127.67,,,
-2.39,0.64,127.68,,,
-2.35,1.4,127.6,,,
-2.3,2.19,127.47,,,
-2.24,3.01,127.27,,,
-2.17,3.85,127.02,,,
-2.11,4.72,126.74,,,
-2.05,5.63,126.47,,,
-1.99,6.55,126.19,,,
-1.94,7.46,125.92,,,
-1.87,8.39,125.66,,,
-1.83,7.4,125.41,,,
-1.76,8.31,125.18,,,
-1.72,9.22,124.97,,,
-1.67,10.13,124.78,,,
-1.63,11.01,124.62,,,
-1.6,11.89,124.46,,,
-1.57,12.75,124.32,,,
-1.54,13.61,124.2,,,
-1.53,14.48,124.1,,,
-1.52,15.35,124.02,,,
-1.52,14.31,123.94,,,
-1.52,13.28,123.89,,,
-1.53,14.16,123.85,,,
-1.53,15.02,123.84,,,
-1.54,15.87,123.83,,,
-1.56,16.71,123.81,,,
-1.57,17.55,123.79,,,
-1.59,18.37,123.77,,,
-1.61,19.17,123.75,,,
-1.65,19.97,123.71,,,
-1.68,20.74,123.66,,,
-1.7,21.5,123.56,,,
-1.73,22.28,123.44,,,
-1.75,23.04,123.29,,,
-1.79,23.81,123.13,,,
-1.83,24.59,122.94,,,
-1.89,25.41,122.76,,,
-1.95,26.23,122.6,,,
-2.01,27.05,122.42,,,
-2.07,27.86,122.24,,,
-2.16,26.78,122.08,,,
-2.24,25.74,121.92,,,
-2.33,24.7,121.78,,,
-2.43,23.7,121.67,,,
-2.52,22.72,121.58,,,
-2.6,21.74,121.52,,,
-2.67,20.73,121.48,,,
-2.75,19.71,121.45,,,
-2.82,20.57,121.41,,,
-2.9,21.42,121.35,,,
-2.99,22.25,121.28,,,
-3.07,23.07,121.16,,,
-3.14,23.9,121.01,,,
-3.22,24.74,120.84,,,
-3.31,23.68,120.65,,,
-3.39,22.65,120.45,,,
-3.47,21.62,120.22,,,
-3.54,20.61,119.98,,,
-3.62,19.62,119.74,,,
-3.68,18.65,119.51,,,
-3.75,17.7,119.29,,,
-3.8,16.8,119.09,,,
-3.86,15.89,118.91,,,
-3.91,14.98,118.76,,,
-3.97,14.06,118.64,,,
-4,13.12,118.55,,,
-4.05,12.18,118.44,,,
-4.11,11.2,118.35,,,
-4.14,10.21,118.27,,,
-4.17,11.11,118.15,,,
-4.2,11.99,118.02,,,
-4.21,12.87,117.86,,,
-4.24,13.76,117.67,,,
-4.26,14.65,117.47,,,
-4.3,13.64,117.25,,,
-4.32,12.63,117,,,
-4.37,11.66,116.74,,,
-4.41,10.72,116.48,,,
-4.46,9.81,116.24,,,
-4.5,8.89,116.02,,,
-4.53,8,115.83,,,
-4.54,7.12,115.66,,,
-4.56,6.24,115.5,,,
-4.59,5.35,115.39,,,
-4.61,4.44,115.3,,,
-4.61,3.52,115.2,,,
-4.6,2.59,115.13,,,
-4.59,1.65,115.07,,,
-4.59,2.59,115,,,
-4.6,3.52,114.94,,,
-4.59,4.44,114.87,,,
-4.59,5.34,114.77,,,
-4.57,6.25,114.67,,,
-4.55,7.16,114.54,,,
-4.56,8.06,114.39,,,
-4.59,7.07,114.25,,,
-4.6,6.1,114.09,,,
-4.61,5.14,113.92,,,
-4.59,4.2,113.75,,,
-4.57,3.27,113.58,,,
-4.54,2.38,113.45,,,
-4.52,1.49,113.35,,,
-4.5,0.61,113.3,,,
-4.46,-0.26,113.27,,,
-4.44,-1.15,113.26,,,
-4.4,-2.07,113.26,,,
-4.37,-1.09,113.27,,,
-4.34,-0.13,113.27,,,
-4.29,0.82,113.3,,,
-4.27,1.76,113.32,,,
-4.27,2.67,113.33,,,
-4.24,3.58,113.32,,,
-4.22,4.47,113.29,,,
-4.22,5.39,113.23,,,
-4.23,6.32,113.16,,,
-4.25,7.25,113.06,,,
-4.24,6.28,112.94,,,
-4.22,5.32,112.81,,,
-4.21,4.38,112.68,,,
-4.21,3.44,112.55,,,
-4.2,2.51,112.44,,,
-4.2,1.6,112.33,,,
-4.17,0.69,112.21,,,
-4.17,-0.2,112.11,,,
-4.15,-1.08,112.01,,,
-4.11,-1.98,111.91,,,
-4.08,-2.86,111.82,,,
-4.05,-3.72,111.76,,,
-4.01,-4.59,111.7,,,
-3.96,-5.47,111.66,,,
-3.9,-6.34,111.64,,,
-3.87,-7.19,111.62,,,
-3.84,-8.05,111.62,,,
-3.77,-8.93,111.63,,,
-3.71,-9.79,111.62,,,
-3.67,-10.62,111.64,,,
-3.63,-11.46,111.69,,,
-3.58,-12.29,111.75,,,
-3.52,-13.11,111.82,,,
-3.47,-13.93,111.9,,,
-3.41,-14.74,112,,,
-3.34,-15.55,112.11,,,
-3.26,-16.36,112.22,,,
-3.19,-17.19,112.33,,,
-3.13,-18.05,112.45,,,
-3.05,-17,112.56,,,
-3.01,-17.84,112.66,,,
-2.95,-16.8,112.76,,,
-2.91,-17.65,112.84,,,
-2.85,-18.5,112.92,,,
-2.8,-19.33,112.98,,,
-2.77,-20.14,113.05,,,
-2.73,-20.94,113.12,,,
-2.69,-21.72,113.2,,,
-2.66,-22.5,113.29,,,
-2.62,-23.29,113.4,,,
-2.58,-24.08,113.52,,,
-2.55,-24.86,113.65,,,
-2.52,-25.63,113.78,,,
-2.49,-26.4,113.93,,,
-2.46,-27.15,114.1,,,
-2.42,-27.93,114.28,,,
-2.41,-28.72,114.44,,,
-2.38,-27.61,114.6,,,
-2.35,-26.52,114.77,,,
-2.32,-25.42,114.92,,,
-2.3,-24.34,115.04,,,
-2.28,-23.27,115.15,,,
-2.26,-22.19,115.24,,,
-2.24,-23,115.32,,,
-2.24,-21.92,115.41,,,
-2.25,-20.85,115.5,,,
-2.26,-21.68,115.57,,,
-2.27,-22.49,115.64,,,
-2.3,-23.29,115.74,,,
-2.33,-24.1,115.85,,,
-2.35,-24.9,115.97,,,
-2.39,-25.71,116.1,,,
-2.42,-26.51,116.22,,,
-2.46,-27.32,116.36,,,
-2.5,-28.12,116.51,,,
-2.54,-27.03,116.68,,,
-2.58,-25.96,116.84,,,
-2.62,-24.9,116.99,,,
-2.66,-23.85,117.13,,,
-2.7,-22.82,117.26,,,
-2.75,-21.79,117.39,,,
-2.79,-20.77,117.51,,,
-2.84,-19.74,117.6,,,
-2.88,-18.71,117.67,,,
-2.94,-17.68,117.74,,,
-2.99,-16.65,117.8,,,
-3.04,-15.61,117.85,,,
-3.1,-16.48,117.91,,,
-3.15,-17.33,118,,,
-3.19,-18.18,118.1,,,
-3.25,-18.99,118.19,,,
-3.29,-19.83,118.31,,,
-3.34,-20.68,118.46,,,
-3.37,-19.62,118.62,,,
-3.39,-18.56,118.79,,,
-3.42,-17.52,118.99,,,
-3.43,-16.51,119.19,,,
-3.46,-15.51,119.39,,,
-3.49,-14.54,119.59,,,
-3.5,-13.58,119.78,,,
-3.51,-12.63,119.94,,,
-3.54,-11.7,120.1,,,
