81.78,132.4,205.39,,,,,
81.79,132.47,205.4,,,,,
81.8,132.54,205.4,,,,,
81.81,132.59,205.41,,,,,
81.82,132.64,205.42,,,,,
81.83,132.68,205.43,,,,,
81.85,132.73,205.45,,,,,
81.86,132.76,205.45,,,,,
81.87,132.81,205.45,,,,,
81.88,132.86,205.46,,,,,
81.9,132.9,205.47,,,,,
81.91,132.96,205.48,,,,,
81.92,133.02,205.48,,,,,
81.93,133.09,205.49,,,,,
81.94,133.17,205.5,,,,,
81.94,133.27,205.51,,,,,
81.95,133.38,205.51,,,,,
81.85,132.71,205.51,,,,,
81.82,132.73,205.52,,,,,
81.77,133.26,205.52,,,,,
81.76,133.67,205.52,,,,,
81.76,132.17,205.54,,,,,
81.77,130.66,205.55,,,,,
81.79,130.86,205.55,,,,,
81.81,131.18,205.56,,,,,
81.81,131.51,205.56,,,,,
81.81,131.84,205.56,,,,,
81.83,132.04,205.57,,,,,
81.84,132.21,205.58,,,,,
81.86,132.34,205.57,,,,,
81.88,132.5,205.56,,,,,
81.9,132.67,205.56,,,,,
81.92,132.8,205.55,,,,,
81.94,132.97,205.57,,,,,
81.96,133.1,205.59,,,,,
81.97,133.28,205.61,,,,,
81.99,133.45,205.62,,,,,
82,133.62,205.63,,,,,
82.01,133.78,205.64,,,,,
82,133.92,205.65,,,,,
82,134.07,205.65,,,,,
81.97,134.31,205.66,,,,,
81.89,134.46,205.67,,,,,
81.89,134.4,205.68,,,,,
81.91,134.49,205.69,,,,,
81.93,134.47,205.69,,,,,
81.93,134.39,205.7,,,,,
81.96,134.32,205.71,,,,,
81.99,134,205.71,,,,,
82,133.64,205.72,,,,,
82.02,133.44,205.73,,,,,
82.04,133.46,205.74,,,,,
82.06,133.5,205.75,,,,,
82.08,133.54,205.76,,,,,
82.1,133.59,205.77,,,,,
82.11,133.64,205.77,,,,,
82.13,133.7,205.77,,,,,
82.14,133.76,205.78,,,,,
82.16,133.81,205.8,,,,,
82.17,133.88,205.82,,,,,
82.19,133.93,205.83,,,,,
82.19,134.01,205.85,,,,,
82.2,134.09,205.86,,,,,
82.14,134.07,205.88,,,,,
82.03,134.08,205.9,,,,,
81.98,133.8,205.9,,,,,
81.9,133.48,205.91,,,,,
81.81,133.03,205.92,,,,,
81.81,132.55,205.94,,,,,
81.78,131.11,205.95,,,,,
81.73,129.75,205.95,,,,,
81.72,128.48,205.95,,,,,
81.75,127.12,205.96,,,,,
81.77,127.06,205.97,,,,,
81.78,126.93,205.98,,,,,
81.79,126.68,205.99,,,,,
81.82,126.51,205.99,,,,,
81.85,126.48,206.01,,,,,
81.88,125.25,206.02,,,,,
81.88,124.02,206.02,,,,,
81.91,122.54,206.03,,,,,
81.93,122.72,206.02,,,,,
81.94,122.86,206.02,,,,,
81.96,122.99,206.01,,,,,
81.98,123.21,206.01,,,,,
82.02,123.39,206.05,,,,,
82.05,123.37,206.1,,,,,
82.08,123.39,206.14,,,,,
82.11,123.53,206.16,,,,,
82.12,123.76,206.16,,,,,
82.13,123.8,206.16,,,,,
82.14,123.99,206.17,,,,,
82.15,123.99,206.18,,,,,
82.16,123.9,206.18,,,,,
82.17,123.99,206.17,,,,,
82.17,124.13,206.17,,,,,
82.16,124.36,206.17,,,,,
82.16,124.57,206.19,,,,,
82.18,124.72,206.25,,,,,
82.2,123.12,206.31,,,,,
82.23,123.25,206.38,,,,,
82.26,121.83,206.45,,,,,
82.25,120.62,206.48,,,,,
82.25,119.42,206.47,,,,,
82.27,118.03,206.43,,,,,
82.27,118.23,206.37,,,,,
82.26,118.46,206.32,,,,,
82.25,118.59,206.29,,,,,
82.24,118.72,206.29,,,,,
82.26,118.85,206.3,,,,,
82.3,119,206.33,,,,,
82.34,119.25,206.37,,,,,
82.37,119.48,206.4,,,,,
82.38,119.6,206.42,,,,,
82.39,119.8,206.44,,,,,
82.39,119.91,206.44,,,,,
82.38,120.07,206.43,,,,,
82.37,120.2,206.42,,,,,
82.36,120.26,206.4,,,,,
82.36,120.39,206.39,,,,,
82.36,120.55,206.37,,,,,
82.35,120.62,206.34,,,,,
82.35,120.62,206.27,,,,,
82.34,120.74,206.22,,,,,
82.34,120.73,206.14,,,,,
82.35,120.49,206.12,,,,,
82.36,120.37,206.12,,,,,
82.37,120.26,206.12,,,,,
82.37,120.21,206.12,,,,,
82.4,120.28,206.13,,,,,
82.43,119.4,206.13,,,,,
82.44,119.22,206.14,,,,,
82.45,119.22,206.15,,,,,
82.43,119.35,206.16,,,,,
82.43,119.39,206.18,,,,,
82.43,119.38,206.19,,,,,
82.44,119.33,206.21,,,,,
82.44,119.31,206.22,,,,,
82.42,119.21,206.23,,,,,
82.42,119.17,206.23,,,,,
82.41,119.1,206.24,,,,,
82.41,119.11,206.24,,,,,
82.4,119.07,206.25,,,,,
82.38,119.09,206.25,,,,,
82.35,119.14,206.25,,,,,
82.3,119.22,206.26,,,,,
82.23,119.34,206.27,,,,,
82.15,119.46,206.27,,,,,
82.07,119.61,206.27,,,,,
81.97,119.78,206.27,,,,,
81.89,119.97,206.27,,,,,
81.8,120.19,206.28,,,,,
81.71,120.43,206.29,,,,,
81.63,120.69,206.29,,,,,
81.54,120.95,206.29,,,,,
81.45,121.25,206.3,,,,,
81.35,121.58,206.3,,,,,
81.23,121.94,206.31,,,,,
81.11,122.32,206.32,,,,,
81,122.75,206.34,,,,,
80.92,123.22,206.36,,,,,
80.86,123.75,206.38,,,,,
80.82,122.4,206.39,,,,,
80.77,121.1,206.42,,,,,
80.72,119.86,206.44,,,,,
80.66,118.64,206.45,,,,,
80.62,117.5,206.45,,,,,
80.58,116.51,206.48,,,,,
80.55,115.65,206.5,,,,,
80.51,114.85,206.53,,,,,
80.46,114.09,206.56,,,,,
80.39,113.35,206.6,,,,,
80.31,112.6,206.63,,,,,
80.23,111.87,206.67,,,,,
80.16,111.09,206.71,,,,,
80.1,110.29,206.77,,,,,
80.05,109.44,206.82,,,,,
79.99,108.59,206.88,,,,,
79.93,107.7,206.94,,,,,
79.88,106.87,207,,,,,
79.81,106.04,207.06,,,,,
79.75,105.24,207.1,,,,,
79.66,104.44,207.15,,,,,
79.58,103.66,207.18,,,,,
79.48,102.85,207.21,,,,,
79.4,102.03,207.26,,,,,
79.31,101.17,207.31,,,,,
79.22,100.34,207.37,,,,,
79.14,99.5,207.43,,,,,
79.06,98.63,207.46,,,,,
79.01,97.81,207.5,,,,,
78.97,97.07,207.54,,,,,
78.95,96.34,207.59,,,,,
78.93,95.61,207.64,,,,,
78.9,94.94,207.7,,,,,
78.88,94.32,207.74,,,,,
78.86,93.7,207.77,,,,,
78.84,93.18,207.81,,,,,
78.82,92.71,207.84,,,,,
78.79,92.32,207.87,,,,,
78.78,91.97,207.9,,,,,
78.76,91.66,207.93,,,,,
78.75,91.35,207.97,,,,,
78.73,91.08,208,,,,,
78.7,90.79,208.04,,,,,
78.68,90.48,208.05,,,,,
78.67,90.19,208.07,,,,,
78.63,89.83,208.08,,,,,
78.59,89.63,208.1,,,,,
78.43,89.55,208.1,,,,,
78.37,89.37,208.11,,,,,
78.34,89.12,208.12,,,,,
78.32,88.96,208.13,,,,,
78.25,88.9,208.13,,,,,
78.17,88.83,208.13,,,,,
78.11,88.79,208.13,,,,,
78.04,88.8,208.14,,,,,
77.95,88.85,208.13,,,,,
77.85,88.92,208.11,,,,,
77.74,89.02,208.12,,,,,
77.65,89.12,208.12,,,,,
77.55,89.24,208.12,,,,,
77.43,89.4,208.12,,,,,
77.33,89.56,208.12,,,,,
77.22,89.76,208.11,,,,,
77.11,89.97,208.12,,,,,
77.03,90.21,208.12,,,,,
76.94,90.45,208.1,,,,,
76.85,90.72,208.07,,,,,
76.76,90.99,208.05,,,,,
76.67,91.29,208.03,,,,,
76.58,91.61,208.03,,,,,
76.47,91.97,208.02,,,,,
76.38,92.35,208.01,,,,,
76.28,92.75,208,,,,,
76.16,93.17,208,,,,,
76.06,93.65,207.99,,,,,
75.96,94.14,207.98,,,,,
75.88,94.71,207.97,,,,,
75.81,95.29,207.96,,,,,
75.74,95.92,207.95,,,,,
75.69,96.59,207.93,,,,,
75.63,97.3,207.92,,,,,
75.59,98.05,207.91,,,,,
75.56,98.84,207.9,,,,,
75.52,97.75,207.89,,,,,
75.49,96.66,207.88,,,,,
75.47,95.63,207.88,,,,,
75.46,94.66,207.88,,,,,
75.46,93.73,207.88,,,,,
75.46,92.88,207.88,,,,,
