KalmanPitch,KalmanRoll
-4.98,0.46
-5,0.48
-5.02,0.5
-5.04,0.52
-5.05,0.55
-5.07,0.59
-5.08,0.64
-5.09,0.68
-5.11,0.73
-5.14,0.76
-5.14,0.81
-5.12,0.93
-5.09,1.05
-5.08,1.14
-5.08,1.19
-5.09,1.22
-5.13,1.21
-5.17,1.18
-5.21,1.14
-5.25,1.11
-5.29,1.08
-5.32,1.06
-5.34,1.03
-5.37,1.01
-5.38,0.97
-5.39,0.95
-5.39,0.93
-5.38,0.93
-5.36,0.93
-5.34,0.93
-5.32,0.94
-5.3,0.94
-5.28,0.93
-5.27,0.91
-5.27,0.88
-5.26,0.87
-5.26,0.86
-5.26,0.85
-5.27,0.84
-5.27,0.84
-5.27,0.85
-5.27,0.86
-5.26,0.89
-5.25,0.92
-5.24,0.95
-5.23,0.98
-5.23,1.01
-5.21,1.06
-5.18,1.13
-5.17,1.17
-5.16,1.17
-5.18,1.17
-5.19,1.15
-5.21,1.13
-5.24,1.11
-5.26,1.1
-5.27,1.09
-5.29,1.07
-5.32,1.06
-5.34,1.04
-5.35,1.02
-5.37,1
-5.37,0.98
-5.38,0.95
-5.39,0.93
-5.4,0.91
-5.41,0.9
-5.41,0.87
-5.42,0.85
-5.42,0.83
-5.43,0.81
-5.44,0.79
-5.46,0.77
-5.47,0.75
-5.49,0.73
-5.5,0.71
-5.51,0.69
-5.52,0.68
-5.53,0.68
-5.53,0.67
-5.53,0.66
-5.52,0.66
-5.5,0.65
-5.48,0.64
-5.45,0.65
-5.42,0.66
-5.4,0.67
-5.37,0.69
-5.35,0.69
-5.34,0.69
-5.32,0.68
-5.31,0.67
-5.3,0.67
-5.29,0.66
-5.28,0.65
-5.28,0.63
-5.28,0.61
-5.28,0.59
-5.29,0.57
-5.29,0.56
-5.29,0.54
-5.29,0.52
-5.29,0.5
-5.27,0.46
-5.25,0.42
-5.23,0.37
-5.22,0.33
-5.2,0.28
-5.18,0.24
-5.16,0.2
-5.13,0.15
-5.11,0.11
-5.1,0.07
-5.1,0.02
-5.11,-0.03
-5.11,-0.1
-5.1,-0.17
-5.08,-0.25
-5.06,-0.32
-5.03,-0.39
-5.01,-0.47
-4.99,-0.53
-4.98,-0.61
-4.98,-0.77
-5.01,-0.98
-5.03,-1.19
-5.07,-1.41
-5.11,-1.6
-5.13,-1.75
-5.16,-1.89
-5.18,-2.03
-5.2,-2.16
-5.22,-2.3
-5.22,-2.43
-5.22,-2.51
-5.22,-2.56
-5.22,-2.61
-5.2,-2.67
-5.13,-2.82
-5.05,-3.02
-4.97,-3.24
-4.92,-3.48
-4.87,-3.73
-4.82,-3.99
-4.78,-4.28
-4.74,-4.58
-4.71,-4.89
-4.68,-5.22
-4.67,-5.54
-4.69,-5.86
-4.73,-6.18
-4.79,-6.47
-4.88,-6.72
-4.97,-6.94
-5.04,-7.12
-5.07,-7.28
-5.06,-7.42
-5.03,-7.57
-4.98,-7.74
-4.91,-7.93
-4.84,-8.14
-4.78,-8.36
-4.73,-8.6
-4.71,-8.85
-4.7,-9.11
-4.73,-9.37
-4.77,-9.63
-4.82,-9.87
-4.89,-10.12
-4.95,-10.37
-5,-10.62
-5.04,-10.87
-5.04,-11.15
-5.02,-11.47
-4.97,-11.83
-4.9,-12.2
-4.82,-12.58
-4.73,-12.95
-4.65,-13.29
-4.59,-13.62
-4.53,-13.91
-4.53,-14.17
-4.53,-14.43
-4.53,-14.69
-4.52,-14.96
-4.5,-15.25
-4.48,-15.54
-4.46,-15.84
-4.43,-16.14
-4.41,-16.45
-4.4,-16.75
-4.38,-17.04
-4.38,-17.33
-4.38,-17.63
-4.38,-17.93
-4.39,-18.25
-4.4,-18.57
-4.41,-18.91
-4.41,-19.28
-4.42,-19.65
-4.42,-20.03
-4.42,-20.41
-4.42,-20.81
-4.42,-21.23
-4.42,-21.66
-4.41,-22.11
-4.41,-22.58
-4.41,-23.07
-4.41,-23.59
-4.41,-24.12
-4.41,-24.65
-4.41,-25.16
-4.42,-25.64
-4.44,-26.1
-4.46,-26.52
-4.47,-26.91
-4.47,-27.3
-4.48,-27.71
-4.49,-28.14
-4.49,-28.56
-4.51,-28.97
-4.53,-29.38
-4.53,-29.77
-4.53,-30.15
-4.51,-30.54
-4.48,-30.97
-4.42,-31.44
-4.33,-31.94
-4.22,-32.46
-4.09,-32.98
-3.96,-33.49
-3.85,-33.96
-3.74,-34.4
-3.65,-34.82
-3.57,-35.17
-3.49,-35.34
-3.45,-35.62
-3.44,-35.96
-3.44,-36.31
-3.45,-36.67
-3.47,-37.09
-3.51,-37.56
-3.56,-38.07
-3.59,-38.57
-3.61,-39.07
