KalmanPitch,KalmanRoll,
-6.43,-37.64,
-6.42,-37.65,
-6.42,-37.65,
-6.42,-37.64,
-6.41,-37.63,
-6.41,-37.62,
-6.4,-37.61,
-6.39,-37.59,
-6.39,-37.58,
-6.38,-37.56,
-6.38,-37.55,
-6.37,-37.53,
-6.36,-37.51,
-6.36,-37.5,
-6.35,-37.49,
-6.35,-37.49,
-6.35,-37.49,
-6.35,-37.49,
-6.34,-37.49,
-6.34,-37.49,
-6.34,-37.5,
-6.34,-37.51,
-6.34,-37.53,
-6.33,-37.55,
-6.33,-37.59,
-6.33,-37.63,
-6.33,-37.67,
-6.33,-37.72,
-6.33,-37.77,
-6.33,-37.83,
-6.33,-37.88,
-6.33,-37.92,
-6.33,-37.97,
-6.32,-38.01,
-6.32,-38.05,
-6.32,-38.08,
-6.32,-38.11,
-6.31,-38.14,
-6.31,-38.17,
-6.3,-38.2,
-6.3,-38.23,
-6.3,-38.27,
-6.29,-38.3,
-6.29,-38.34,
-6.28,-38.38,
-6.28,-38.42,
-6.27,-38.46,
-6.27,-38.5,
-6.27,-38.54,
-6.26,-38.58,
-6.26,-38.62,
-6.26,-38.66,
-6.26,-38.7,
-6.25,-38.73,
-6.25,-38.77,
-6.25,-38.8,
-6.25,-38.83,
-6.25,-38.86,
-6.24,-38.88,
-6.24,-38.9,
-6.24,-38.92,
-6.24,-38.94,
-6.24,-38.97,
-6.23,-38.99,
-6.23,-39.02,
-6.23,-39.04,
-6.23,-39.07,
-6.23,-39.09,
-6.22,-39.13,
-6.22,-39.16,
-6.22,-39.2,
-6.22,-39.24,
-6.21,-39.28,
-6.21,-39.33,
-6.2,-39.37,
-6.19,-39.41,
-6.19,-39.46,
-6.18,-39.5,
-6.18,-39.54,
-6.18,-39.58,
-6.17,-39.62,
-6.17,-39.65,
-6.16,-39.68,
-6.16,-39.71,
-6.16,-39.74,
-6.15,-39.77,
-6.15,-39.8,
-6.15,-39.83,
-6.14,-39.86,
-6.14,-39.9,
-6.14,-39.93,
-6.15,-39.98,
-6.05,-40.09,
-5.96,-40.18,
-5.92,-40.23,
-5.9,-40.27,
-5.87,-40.31,
-5.86,-40.34,
-5.83,-40.38,
-5.81,-40.41,
-5.8,-40.43,
-5.79,-40.46,
-5.78,-40.48,
-5.77,-40.5,
-5.76,-40.52,
-5.76,-40.54,
-5.76,-40.56,
-5.75,-40.58,
-5.75,-40.6,
-5.75,-40.62,
-5.76,-40.64,
-5.76,-40.66,
-5.76,-40.69,
-5.76,-40.72,
-5.76,-40.75,
-5.76,-40.78,
-5.76,-40.81,
-5.77,-40.83,
-5.77,-40.86,
-5.77,-40.89,
-5.77,-40.91,
-5.77,-40.94,
