0.96,0.93,0.96,1.09,1.26,0.96
0.97,0.95,0.96,1.06,1.18,1.08
0.98,0.95,0.96,1.04,1.16,1.13
0.97,0.96,0.96,1.04,1.22,1.18
0.98,0.96,0.97,1.01,1.29,1.25
0.98,0.96,0.96,1.01,1.3,1.29
0.99,0.97,0.96,0.96,1.32,1.2
0.96,0.96,0.97,0.93,1.31,1.14
0.95,0.98,0.95,0.95,1.32,1.19
0.95,0.97,0.94,0.94,1.31,1.04
0.95,0.96,0.94,0.95,1.18,1.01
0.95,0.97,0.95,0.94,1.05,1.01
0.95,0.95,0.94,0.95,1.07,0.97
0.95,0.95,0.95,0.95,0.96,0.97
0.95,0.95,0.95,0.95,0.89,0.96
0.94,0.95,0.95,0.95,0.89,0.95
0.95,0.95,0.95,0.94,0.91,0.95
0.95,0.95,0.95,0.95,0.86,0.96
0.95,0.95,0.95,0.95,0.95,0.96
0.95,0.95,0.94,0.95,1.12,1
0.95,0.94,0.95,0.94,1.02,1.01
0.95,0.95,0.95,0.97,0.99,1.05
,,,0.98,,
,,,0.97,,
,,,0.96,,
,,,0.95,,
,,,0.95,,
,,,0.95,,
,,,0.95,,
,,,0.94,,
,,,0.94,,
