A1,A2,A3,A4,A5,Noise,,Noise,,,,,,,,,,,,,,,
0.95,1,1,1.04,1.29,0.97,,0.97,,,,,,,,,,,,,,,
0.95,1.02,1,1.04,1.3,0.92,,0.96,,,,,,,,,,,,,,,
0.94,0.98,0.96,1.01,1.32,0.91,,0.95,,,,,,,,,,,,,,,
0.96,0.93,0.96,1.01,1.31,0.96,,0.95,,,,,,,,,,,,,,,
0.93,0.95,0.96,0.96,1.32,1.08,,0.96,,,,,,,,,,,,,,,
0.96,0.95,0.96,0.93,1.31,1.13,,0.96,,,,,,,,,,,,,,,
0.96,0.96,0.96,0.95,1.18,1.18,,1,,,,,,,,,,,,,,,
0.97,0.96,0.97,0.94,1.05,1.25,,1.01,,,,,,,,,,,,,,,
0.98,0.96,0.96,0.95,1.07,1.29,,1.05,,,,,,,,,,,,,,,
0.97,0.97,0.96,0.94,0.96,1.2,,1.09,,,,,,,,,,,,,,,
0.98,0.96,0.97,0.95,0.89,1.14,,1.14,,,,,,,,,,,,,,,
0.98,0.98,0.95,0.95,0.89,1.19,,1.12,,,,,,,,,,,,,,,
0.99,0.97,0.94,0.95,0.91,1.04,,1.15,,,,,,,,,,,,,,,
0.96,0.96,0.94,0.95,0.86,1.01,,1.17,,,,,,,,,,,,,,,
0.95,0.97,0.95,0.94,0.95,1.01,,1.23,,,,,,,,,,,,,,,
0.95,0.95,0.94,0.95,1.12,0.97,,1.18,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,1.02,0.97,,1.15,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.99,0.96,,1.07,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.94,,0.95,,1.03,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.97,,0.95,,0.96,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.98,,0.96,,0.93,,,,,,,,,,,,,,,
0.94,0.95,0.95,0.97,,0.96,,0.93,,,,,,,,,,,,,,,
0.95,0.95,0.94,0.96,,1,,1,,,,,,,,,,,,,,,
0.95,0.94,0.95,0.95,,1.01,,1,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,,1.05,,1.07,,,,,,,,,,,,,,,
0.95,,,0.95,,,,1.07,,,,,,,,,,,,,,,
0.95,,,0.95,,,,1.06,,,,,,,,,,,,,,,
0.95,,,0.94,,,,1.05,,,,,,,,,,,,,,,
,,,0.94,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.02,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,1.02,,,,,,,,,,,,,,,
,,,,,,,1.04,,,,,,,,,,,,,,,
,,,,,,,1.03,,,,,,,,,,,,,,,
,,,,,,,1.04,,,,,,,,,,,,,,,
,,,,,,,1.05,,,,,,,,,,,,,,,
,,,,,,,1.07,,,,,,,,,,,,,,,
,,,,,,,1.04,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,0.97,,,,,,,,,,,,,,,
,,,,,,,0.93,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,1.02,,,,,,,,,,,,,,,
,,,,,,,1.12,,,,,,,,,,,,,,,
,,,,,,,1.26,,,,,,,,,,,,,,,
,,,,,,,1.35,,,,,,,,,,,,,,,
,,,,,,,1.31,,,,,,,,,,,,,,,
,,,,,,,1.24,,,,,,,,,,,,,,,
,,,,,,,1.28,,,,,,,,,,,,,,,
,,,,,,,1.17,,,,,,,,,,,,,,,
,,,,,,,1.16,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.97,,,,,,,,,,,,,,,
